date,product_type,channel_spend,uscaau_spend,jpkr_spend,channel_installs,d0_revenue,uscaau_d0_revenue,jpkr_d0_revenue,channel_cpi,uscaau_cpi,jpkr_cpi,h1_roi,h6_roi,h12_roi,uscaau_h1_roi,uscaau_h6_roi,uscaau_h12_roi,jpkr_h1_roi,jpkr_h6_roi,jpkr_h12_roi,uscaau_d0_roi,jpkr_d0_roi,d0_roi
2026/4/16,file_repair,112.10,91.77,10.32,382,116.90,78.54,30.90,0.29,0.99,0.07,46.10,53.67,55.64,41.90,49.41,52.01,75.29,75.78,83.14,85.58,299.25,104.28
2026/4/15,file_repair,876.12,48.56,814.89,1789,664.20,42.46,611.65,0.49,0.59,0.56,59.71,65.26,66.54,43.64,50.58,52.04,60.43,65.79,67.06,87.44,75.06,75.81
